Año,Periodo,Operador de red,Nivel,CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),COT,"Cfm,j ($/fact.)"
2024,Septiembre,ENEL Bogotá - Cundinamarca,NIVEL II,635.07,322.32,48.55,162.35,71.05,19.79,11.01,48.11,9.731
2024,Septiembre,ENEL Bogotá - Cundinamarca,NIVEL III,566.75,322.32,48.55,110.47,55.09,19.31,11.01,32.15,9.731
2024,Septiembre,CELSIA - Valle del Cauca,Nivel 1 ( Propiedad OR ),777.48,324.45,48.55,247.84,84.99,60.64,11.01,60.01,16.025
2024,Septiembre,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),743.41,324.45,48.55,213.76,84.99,60.64,11.01,60.01,16.025
2024,Septiembre,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),709.33,324.45,48.55,179.69,84.99,60.64,11.01,60.01,16.025
2024,Septiembre,CELSIA - Valle del Cauca,NIVEL II,647.09,324.45,48.55,150.99,86.84,25.25,11.01,61.86,16.025
2024,Septiembre,CELSIA - Valle del Cauca,NIVEL III,553.33,324.45,48.55,87.9,59.96,21.46,11.01,34.98,16.025
2024,Septiembre,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),927.13,306.81,48.55,266.9,190.77,82.31,31.79,94.39,10.055
2024,Septiembre,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),877.55,306.81,48.55,217.32,190.77,82.31,31.79,94.39,10.055
2024,Septiembre,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),827.97,306.81,48.55,167.74,190.77,82.31,31.79,94.39,10.055
2024,Septiembre,CELSIA - Tolima,NIVEL II,685.14,306.81,48.55,162.35,99.7,35.95,31.79,0,10.055
2024,Septiembre,CELSIA - Tolima,NIVEL III,624.27,306.81,48.55,110.47,99.7,26.95,31.79,0,10.055
2024,Septiembre,EMCALI - Cali,Nivel 1 ( Propiedad OR ),711.6,322.71,48.55,247.84,22.79,58.69,11.01,0,8.976
2024,Septiembre,EMCALI - Cali,Nivel 1 (Propiedad Compartida),696.27,322.71,48.55,232.51,22.79,58.69,11.01,0,8.976
2024,Septiembre,EMCALI - Cali,Nivel 1  (Propiedad Cliente),680.94,322.71,48.55,217.18,22.79,58.69,11.01,0,8.976
2024,Septiembre,EMCALI - Cali,NIVEL II,581.22,322.71,48.55,150.99,22.79,25.16,11.01,0,8.976
2024,Septiembre,EMCALI - Cali,NIVEL III,515.89,322.71,48.55,87.9,22.79,22.92,11.01,0,8.976
2024,Octubre,ENEL Bogotá - Cundinamarca,Nivel 1 ( Propiedad OR ),799.4,356.82,52.27,264.6,54.77,69.38,1.56,31.4,9755
2024,Octubre,ENEL Bogotá - Cundinamarca,Nivel 1 (Propiedad Compartida),776.93,356.82,52.27,242.13,54.77,69.38,1.56,31.4,9755
2024,Octubre,ENEL Bogotá - Cundinamarca,Nivel 1  (Propiedad Cliente),754.46,356.82,52.27,219.66,54.77,69.38,1.56,31.4,9755
2024,Octubre,ENEL Bogotá - Cundinamarca,NIVEL II,667.37,356.82,52.27,165.33,68.07,23.32,1.56,44.7,9755
2024,Octubre,ENEL Bogotá - Cundinamarca,NIVEL III,596.22,356.82,52.27,114.75,48.08,22.74,1.56,24.71,9755
2024,Octubre,CELSIA - Valle del Cauca,Nivel 1 ( Propiedad OR ),818.93,359.95,52.27,257.25,80.03,67.87,1.56,53.47,16064
2024,Octubre,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),784.62,359.95,52.27,222.95,80.03,67.87,1.56,53.47,16064
2024,Octubre,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),750.32,359.95,52.27,188.64,80.03,67.87,1.56,53.47,16064
2024,Octubre,CELSIA - Valle del Cauca,NIVEL II,679.9,359.95,52.27,156.92,80.62,28.58,1.56,54.06,16064
2024,Octubre,CELSIA - Valle del Cauca,NIVEL III,588.13,359.95,52.27,91.2,58.78,24.37,1.56,32.22,16064
